timestamp;pitch;roll;yaw
0.049;  2.1; -3.5;143.1
0.095;  2.1; -3.4;143.2
0.143;  2.1; -3.1;143.2
0.196;  2.1; -3.0;143.3
0.242;  2.1; -3.0;143.4
0.290;  2.1; -2.7;143.5
0.335;  2.1; -2.6;143.6
0.385;  2.1; -2.5;143.6
0.430;  2.1; -2.1;143.7
0.479;  2.1; -2.1;143.8
0.531;  2.1; -2.1;143.9
0.576;  2.1; -2.0;144.4
0.625;  2.0; -1.9;144.6
0.670;  2.0; -1.9;144.5
0.719;  2.0; -1.9;144.5
0.771;  1.9; -1.9;144.4
0.817;  1.9; -1.8;144.3
0.865;  1.9; -1.8;144.2
0.918;  1.9; -1.9;144.2
0.963;  2.6; -1.6;145.3
1.012;  6.5; -0.9;145.9
1.064; 13.7; -0.8;146.9
1.109; 23.7;  0.2;151.7
1.158; 31.8;  3.8;155.9
1.203; 40.7;  5.4;159.1
1.252; 51.7;  5.9;170.1
1.304; 68.7;  6.7;179.3
1.349; 83.3;  0.9;185.8
1.398; 90.2; -6.5;188.4
1.451; 91.3; -9.6;191.2
1.496; 92.9;-14.4;193.1
1.545; 92.7;-18.7;194.9
1.590; 91.8;-22.7;196.3
1.639; 90.6;-26.6;197.7
1.691; 88.1;-30.1;198.5
1.736; 79.9;-33.9;200.0
1.785; 67.9;-34.0;200.3
1.830; 49.7;-36.8;201.9
1.879; 29.2;-40.9;203.7
1.931;  7.9;-36.2;206.3
1.977; -3.9;-35.7;209.0
2.026; -7.1;-34.0;204.6
2.078;-13.3;-29.7;210.3
2.123;-14.1;-29.8;214.4
2.171;-13.1;-31.1;211.4
2.223;-10.0;-25.3;210.3
2.269; -9.5;-24.3;210.2
2.317; -8.2;-24.0;208.5
2.369; -7.9;-23.1;207.1
2.415; -7.5;-22.2;205.9
2.463; -7.2;-21.4;204.7
2.515; -6.9;-20.6;203.6
2.568; -6.5;-19.9;202.4
2.613; -6.3;-19.2;201.2
2.662; -6.0;-18.5;200.0
2.707; -5.8;-17.8;198.9
2.756; -5.6;-17.1;197.7
2.808; -5.3;-16.5;196.6
2.853; -5.1;-15.9;195.5
2.902; -4.8;-15.3;194.3
2.954; -4.6;-14.8;193.3
2.999; -4.4;-14.3;192.2
3.048; -4.2;-13.8;191.1
3.100; -4.0;-13.3;190.1
3.146; -3.8;-12.9;189.0
3.194; -3.6;-12.4;187.9
3.240; -3.4;-12.0;186.9
3.289; -3.2;-11.6;185.9
3.341; -3.1;-11.2;184.9
3.386; -2.9;-10.9;184.0
3.435; -2.7;-10.5;183.1
3.480; -2.6;-10.2;182.1
3.529; -2.5; -9.8;181.2
3.581; -2.3; -9.5;180.3
3.626; -2.2; -9.2;179.5
3.675; -2.1; -8.9;178.6
3.727; -1.9; -8.7;177.8
3.772; -1.8; -8.4;176.9
3.821; -1.7; -8.1;176.1
3.873; -1.6; -7.9;175.3
3.925; -1.5; -7.7;174.4
3.971; -1.4; -7.4;173.6
4.019; -1.3; -7.2;172.9
4.065; -1.2; -7.0;172.2
4.113; -1.1; -6.8;171.5
4.166; -1.0; -6.6;170.7
4.211; -1.0; -6.4;170.1
4.260; -0.9; -6.3;169.4
4.312; -0.8; -6.1;168.7
4.357; -0.8; -5.9;168.1
4.406; -0.7; -5.8;167.4
4.451; -0.6; -5.6;166.8
4.500; -0.6; -5.5;166.2
4.552; -0.5; -5.3;165.6
4.598; -0.4; -5.2;165.1
4.646; -0.4; -5.1;164.5
4.699; -0.3; -4.9;164.0
4.744; -0.3; -4.8;163.5
4.793; -0.2; -4.7;163.0
4.838; -0.2; -4.6;162.6
