timestamp;pitch;roll;yaw
0.049;  1.4; -0.7;140.9
0.095;  1.5; -0.7;140.9
0.144;  1.5; -0.7;140.8
0.196;  1.5; -0.7;140.8
0.241;  1.4; -0.7;140.8
0.290;  1.4; -0.6;140.7
0.335;  1.4; -0.6;140.6
0.384;  1.4; -0.6;140.5
0.436;  1.4; -0.6;140.4
0.481;  1.4; -0.7;140.4
0.530;  1.4; -0.7;140.4
0.582;  1.5; -0.7;140.3
0.627;  1.5; -0.7;140.4
0.676;  1.5; -0.7;140.4
0.728;  1.5; -0.7;140.4
0.774;  1.5; -0.7;140.3
0.822;  1.5; -0.7;140.3
0.875;  1.5; -0.7;140.3
0.920;  1.5; -0.7;140.3
0.969;  1.5; -0.7;140.3
1.014;  1.5; -0.7;140.2
1.063;  1.5; -0.7;140.2
1.115;  1.5; -0.7;140.1
1.160;  1.5; -0.7;140.1
1.209;  1.5; -0.7;140.1
1.261;  1.5; -0.7;140.0
1.306;  1.5; -0.7;140.0
1.355;  1.5; -0.7;140.0
1.407;  1.5; -0.7;139.9
1.453;  1.5; -0.7;139.9
1.501;  1.5; -0.7;139.9
1.547;  1.5; -0.7;139.9
1.595;  1.5; -0.7;140.0
1.648;  1.5; -0.7;140.0
1.693;  1.5; -0.7;140.0
1.742;  1.5; -0.8;140.0
1.794;  1.5; -0.7;140.0
1.839;  1.5; -0.7;140.0
1.888;  1.5; -0.7;140.0
1.933;  1.5; -0.7;140.1
1.982;  1.5; -0.7;140.1
2.034;  1.4; -0.7;140.2
2.080;  1.5; -0.7;140.2
2.128;  1.5; -0.7;140.2
2.181;  1.5; -0.7;140.2
2.226;  1.5; -0.7;140.3
2.274;  1.5; -0.7;140.3
2.326;  1.5; -0.7;140.3
2.372;  1.5; -0.7;140.3
2.420;  1.5; -0.7;140.3
2.473;  1.5; -0.7;140.3
2.518;  1.5; -0.7;140.3
2.567;  1.5; -0.7;140.3
2.619;  1.5; -0.7;140.3
2.664;  1.5; -0.7;140.3
2.713;  1.5; -0.7;140.3
2.758;  1.5; -0.7;140.3
2.807;  1.5; -0.7;140.3
2.859;  1.5; -0.7;140.3
2.905;  1.5; -0.7;140.3
2.953;  1.5; -0.7;140.4
3.006;  1.5; -0.7;140.4
3.051;  1.5; -0.7;140.5
3.100;  1.5; -0.7;140.5
3.145;  1.5; -0.7;140.6
3.194;  1.5; -0.7;140.6
3.246;  1.5; -0.7;140.6
3.291;  1.5; -0.7;140.6
3.340;  1.5; -0.7;140.6
3.392;  1.5; -0.7;140.6
3.437;  1.5; -0.7;140.6
3.486;  1.5; -0.7;140.6
3.538;  1.5; -0.7;140.6
3.583;  1.4; -0.7;140.6
3.632;  1.4; -0.7;140.6
3.684;  1.5; -0.7;140.6
3.729;  1.5; -0.7;140.6
3.778;  1.5; -0.7;140.6
3.830;  1.5; -0.7;140.6
3.875;  1.4; -0.7;140.5
3.924;  1.5; -0.7;140.5
3.976;  1.4; -0.7;140.4
4.021;  1.4; -0.7;140.4
4.070;  1.4; -0.7;140.4
4.122;  1.4; -0.7;140.3
4.167;  1.4; -0.7;140.3
4.216;  1.5; -0.7;140.3
4.268;  1.4; -0.7;140.3
4.320;  1.4; -0.7;140.3
4.366;  1.4; -0.7;140.2
4.414;  1.4; -0.7;140.2
4.460;  1.4; -0.7;140.2
4.508;  1.5; -0.7;140.2
4.561;  1.5; -0.7;140.2
4.606;  1.5; -0.7;140.2
4.654;  1.5; -0.7;140.2
4.707;  1.4; -0.7;140.2
4.752;  1.4; -0.7;140.2
4.801;  1.4; -0.7;140.2
4.853;  1.4; -0.7;140.1
